drug_a,drug_b,efek_interaksi,mekanisme_interaksi_farmakokinetik,mekanisme_interaksi_farmakodinamik,manajemen_interaksi
captopril,acetazolamid,Moderate,Tidak ada,"Kombinasi ACE inhibitor dengan diuretik meningkatkan risiko hipotensi ortostatik dan hipovolemia. ACE inhibitor juga dapat mempotensiasi penurunan natrium urin oleh diuretik ? memicu gangguan fungsi ginjal terutama pada pasien dengan deplesi natrium, diet rendah garam, atau dialisis.","Pantau tekanan darah, diuresis, elektrolit (Na, K), dan fungsi ginjal (ureum, kreatinin). Inisiasi captopril dengan dosis rendah. Hentikan sementara diuretik atau tingkatkan asupan garam sebelum memulai terapi. Awasi pasien 2 jam setelah dosis pertama."
captopril,acetohexamid,Moderate,Tidak ada,"ACE inhibitor meningkatkan sensitivitas insulin perifer dan menurunkan resistensi insulin ? memperkuat efek hipoglikemik acetohexamid (sulfonilurea). Hal ini meningkatkan risiko hipoglikemia simtomatik (mis. tremor, keringat dingin, palpitasi).",Pantau glukosa darah puasa dan 2 jam postprandial. Edukasi pasien gejala hipoglikemia dan cara penanganannya (mengkonsumsi glukosa cepat). Pertimbangkan penyesuaian dosis acetohexamid. Hati-hati pada lansia dan pasien gangguan ginjal.
captopril,aldesleukin,Moderate,Tidak ada,"Efek vasodilatasi ACE inhibitor dapat memperkuat hipotensi aldesleukin yang sudah signifikan, meningkatkan risiko hipotensi berat (grade 4) hingga syok.",Pantau tekanan darah selama terapi. Hentikan atau tunda aldesleukin bila sistolik <90 mmHg. Pastikan pasien dalam pengawasan medis intensif saat pemberian kombinasi ini.
captopril,alfentanil,Moderate,Tidak ada,"Alfentanil (opioid) menurunkan tonus vaskular dan menimbulkan hipotensi; ditambah dengan ACE inhibitor ? efek hipotensi aditif, meningkatkan risiko sinkop dan ortostasis terutama pada awal terapi atau saat titrasi dosis.","Pantau tekanan darah terutama setelah dosis awal. Anjurkan pasien bangun perlahan dari duduk/tidur. Hindari konsumsi alkohol. Observasi tanda hipotensi berat (sinkop, palpitasi, pusing)."
captopril,alfuzosin,Moderate,Tidak ada,"Alfa-bloker menyebabkan vasodilatasi perifer. ACE inhibitor memperkuat efek tersebut ? risiko tinggi hipotensi ortostatik, sinkop, dan takikardia kompensatorik, terutama dengan dosis pertama (first-dose phenomenon).","Mulai dengan dosis rendah alfuzosin, titrasi bertahap. Pertimbangkan penurunan dosis captopril sementara. Anjurkan konsumsi alfuzosin saat malam hari. Pantau respons hemodinamik selama 1?2 minggu pertama. Edukasi pasien untuk tidak bangun mendadak."
captopril,aliskiren,Major,Tidak ada,"Kombinasi ACE inhibitor + aliskiren menekan sistem renin-angiotensin secara ganda ? risiko tinggi hipotensi, hiperkalemia, gagal ginjal akut. Risiko sangat meningkat pada pasien DM tipe 2 dan gangguan ginjal.","Kontraindikasi pada pasien DM tipe 2 atau gangguan ginjal (CrCl <60 mL/menit). Jangan inisiasi aliskiren pada pasien yang sudah memakai ACE inhibitor. Monitor tekanan darah, elektrolit (terutama K?), dan fungsi ginjal."
captopril,allopurinol,Major,Tidak ada,"Risiko reaksi hipersensitivitas berat (Stevens-Johnson, dermatitis eksfoliatif), neutropenia, agranulositosis. Diduga terkait efek imunologis, lebih sering bila ada gangguan ginjal.","Gunakan dengan hati-hati terutama pada lansia dan pasien dengan gangguan ginjal. Monitor darah perifer (WBC). Hentikan bila muncul ruam, demam, nyeri sendi/otot, atau tanda infeksi."
captopril,alogliptin,Moderate,Tidak ada,Kombinasi meningkatkan risiko angioedema karena efek aditif ACE inhibitor + DPP-4 inhibitor. ACE inhibitor juga meningkatkan sensitivitas insulin ? risiko hipoglikemia meningkat.,"Edukasi pasien gejala angioedema (bengkak wajah, bibir, lidah). Hentikan segera bila muncul. Pantau glukosa darah, sesuaikan dosis antidiabetik bila perlu."
captopril,alprazolam,Moderate,Tidak ada,"Efek hipotensi aditif dari ACE inhibitor + benzodiazepin. Meningkatkan risiko ortostasis, pusing, sinkop terutama awal terapi.",Monitor tekanan darah. Anjurkan pasien bangun perlahan dari posisi duduk/tidur. Hindari alkohol. Jangan mengemudi/operasi mesin sampai efek obat jelas.
captopril,alteplase,Moderate,Tidak ada,Peningkatan risiko angioedema dan reaksi anafilaktoid. Banyak kasus angioedema orolingual dilaporkan saat alteplase diberikan pada pasien yang juga menggunakan ACE inhibitor.,Monitor pasien ketat saat pemberian. Hentikan terapi bila muncul gejala angioedema/anaphylaxis. Pastikan fasilitas resusitasi tersedia.
